_trade_data_id,address,area,build-year,floor,Y,X,main-num,name,price,sub-num,day,trade-type,year-and-month
258290,경상남도 사천시 주공로 64,55.44,1992,3,34.9439074,128.0880977,838,현대,7800,0,8,중개거래,202212
258291,경상남도 사천시 주공로 64,71.175,1992,8,34.9439074,128.0880977,838,현대,11000,0,16,중개거래,202212
258292,경상남도 사천시 주공로 64,71.175,1992,7,34.9439074,128.0880977,838,현대,12000,0,21,중개거래,202212
258293,경상남도 사천시 주공로 64,71.175,1992,13,34.9439074,128.0880977,838,현대,10850,0,22,중개거래,202212
263881,전라남도 광양시 마장1길 4,84.9669,2011,16,34.9438424,127.7012132,1734,태완노블리안,13780,0,5,직거래,202212
258285,경상남도 사천시 강청길 58-20,84.0191,2018,10,34.9433878,128.0835209,923,탑클래스,26000,0,15,중개거래,202212
258260,경상남도 사천시 삼천포대교로 507-6,59.82,1995,4,34.9433204,128.0763501,85,삼보,4900,0,24,중개거래,202212
243926,경상남도 사천시 주공로 51,49.94,1994,4,34.9432686,128.086422,800,삼보신우타운,6200,1,11,중개거래,202211
243927,경상남도 사천시 주공로 51,49.94,1994,1,34.9432686,128.086422,800,삼보신우타운,4800,1,21,중개거래,202211
258283,경상남도 사천시 주공로 51,59.9,1994,6,34.9432686,128.086422,800,삼보신우타운,5900,1,12,중개거래,202212
263882,전라남도 광양시 태인길 1,59.22,1987,2,34.943268,127.7416451,1320,동광(부영),1300,41,19,직거래,202212
263791,전라남도 광양시 중마로 210,49.77,1993,5,34.9432277,127.6897532,1416,남양파크,4000,0,7,중개거래,202212
263792,전라남도 광양시 중마로 210,59.85,1993,8,34.9432277,127.6897532,1416,남양파크,7000,0,19,직거래,202212
263793,전라남도 광양시 행정3길 22,22.5768,2020,4,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263794,전라남도 광양시 행정3길 22,22.1597,2020,4,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263795,전라남도 광양시 행정3길 22,22.8672,2020,4,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263796,전라남도 광양시 행정3길 22,22.1597,2020,5,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263797,전라남도 광양시 행정3길 22,22.5768,2020,5,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263798,전라남도 광양시 행정3길 22,22.5768,2020,5,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263799,전라남도 광양시 행정3길 22,22.1597,2020,5,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263800,전라남도 광양시 행정3길 22,22.8672,2020,5,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263801,전라남도 광양시 행정3길 22,22.1597,2020,6,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263802,전라남도 광양시 행정3길 22,22.5768,2020,6,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263803,전라남도 광양시 행정3길 22,22.5768,2020,6,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263804,전라남도 광양시 행정3길 22,22.1597,2020,6,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263805,전라남도 광양시 행정3길 22,22.1597,2020,3,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263806,전라남도 광양시 행정3길 22,22.5768,2020,3,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263807,전라남도 광양시 행정3길 22,22.5768,2020,3,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263808,전라남도 광양시 행정3길 22,22.1597,2020,12,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263809,전라남도 광양시 행정3길 22,22.5768,2020,12,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263810,전라남도 광양시 행정3길 22,22.5768,2020,12,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263811,전라남도 광양시 행정3길 22,22.1597,2020,12,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263812,전라남도 광양시 행정3길 22,22.8672,2020,12,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263813,전라남도 광양시 행정3길 22,22.8672,2020,7,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263814,전라남도 광양시 행정3길 22,22.1597,2020,8,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263815,전라남도 광양시 행정3길 22,22.5768,2020,8,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263816,전라남도 광양시 행정3길 22,22.5768,2020,8,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263817,전라남도 광양시 행정3길 22,22.8672,2020,6,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263818,전라남도 광양시 행정3길 22,22.1597,2020,7,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263819,전라남도 광양시 행정3길 22,22.5768,2020,7,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263820,전라남도 광양시 행정3길 22,22.1597,2020,8,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263821,전라남도 광양시 행정3길 22,22.8672,2020,8,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263822,전라남도 광양시 행정3길 22,22.1597,2020,9,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263823,전라남도 광양시 행정3길 22,22.5768,2020,9,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263824,전라남도 광양시 행정3길 22,22.5768,2020,9,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263825,전라남도 광양시 행정3길 22,22.1597,2020,9,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263826,전라남도 광양시 행정3길 22,22.8672,2020,9,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263827,전라남도 광양시 행정3길 22,22.1597,2020,10,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263828,전라남도 광양시 행정3길 22,22.5768,2020,10,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263829,전라남도 광양시 행정3길 22,22.5768,2020,10,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263830,전라남도 광양시 행정3길 22,22.1597,2020,10,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263831,전라남도 광양시 행정3길 22,22.8672,2020,10,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263832,전라남도 광양시 행정3길 22,22.1597,2020,11,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263833,전라남도 광양시 행정3길 22,22.5768,2020,11,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263834,전라남도 광양시 행정3길 22,22.5768,2020,11,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263835,전라남도 광양시 행정3길 22,22.1597,2020,11,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263836,전라남도 광양시 행정3길 22,22.8672,2020,11,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263837,전라남도 광양시 행정3길 22,22.5768,2020,7,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263838,전라남도 광양시 행정3길 22,22.1597,2020,3,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263839,전라남도 광양시 행정3길 22,22.8672,2020,3,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263840,전라남도 광양시 행정3길 22,22.1597,2020,4,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263841,전라남도 광양시 행정3길 22,22.5768,2020,4,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
263842,전라남도 광양시 행정3길 22,22.1597,2020,7,34.9432023,127.697559,1321,동원스타네옴,8400,7,16,직거래,202212
243928,경상남도 사천시 주공로 56,36.36,1993,6,34.9431419,128.0871553,814,성은비룡타워,4800,3,20,중개거래,202211
258284,경상남도 사천시 주공로 56,83.67,1993,8,34.9431419,128.0871553,814,성은비룡타워,11500,3,3,중개거래,202212
263883,전라남도 광양시 담안2길 36-10,59.892,1995,9,34.9429225,127.7488059,397,선미,3400,1,1,직거래,202212
263884,전라남도 광양시 담안2길 36-10,59.892,1995,11,34.9429225,127.7488059,397,선미,3000,1,16,직거래,202212
263885,전라남도 광양시 담안2길 36-10,59.892,1995,12,34.9429225,127.7488059,397,선미,3000,1,21,직거래,202212
243887,경상남도 사천시 주공로 50,35.93,1994,14,34.942619,128.0871329,6,비룡광장타운,5300,2,18,중개거래,202211
243889,경상남도 사천시 벌리1길 90-38,73.56,1991,3,34.942297,128.0835746,12,서라벌맨션,5500,4,30,직거래,202211
243890,경상남도 사천시 벌리6길 29,59.85,1994,12,34.9422888,128.0823265,123,송림프라자,7400,0,12,직거래,202211
