id,address,legal_code
530,부산광역시 중구 광복동3가,2611013500
531,부산광역시 중구 남포동1가,2611013600
532,부산광역시 중구 남포동2가,2611013700
533,부산광역시 중구 남포동3가,2611013800
534,부산광역시 중구 남포동4가,2611013900
535,부산광역시 중구 남포동5가,2611014000
536,부산광역시 중구 남포동6가,2611014100
537,부산광역시 서구,2614000000
538,부산광역시 서구 동대신동1가,2614010100
539,부산광역시 서구 동대신동2가,2614010200
540,부산광역시 서구 동대신동3가,2614010300
541,부산광역시 서구 서대신동1가,2614010400
542,부산광역시 서구 서대신동2가,2614010500
543,부산광역시 서구 서대신동3가,2614010600
544,부산광역시 서구 부용동1가,2614010700
545,부산광역시 서구 부용동2가,2614010800
546,부산광역시 서구 부민동1가,2614010900
547,부산광역시 서구 부민동2가,2614011000
548,부산광역시 서구 부민동3가,2614011100
549,부산광역시 서구 토성동1가,2614011200
550,부산광역시 서구 토성동2가,2614011300
551,부산광역시 서구 토성동3가,2614011400
552,부산광역시 서구 아미동1가,2614011500
553,부산광역시 서구 아미동2가,2614011600
554,부산광역시 서구 토성동4가,2614011700
555,부산광역시 서구 토성동5가,2614011800
556,부산광역시 서구 초장동,2614011900
557,부산광역시 서구 충무동1가,2614012000
558,부산광역시 서구 충무동2가,2614012100
559,부산광역시 서구 충무동3가,2614012200
560,부산광역시 서구 남부민동,2614012300
561,부산광역시 서구 암남동,2614012400
562,부산광역시 동구,2617000000
563,부산광역시 동구 초량동,2617010100
564,부산광역시 동구 수정동,2617010200
565,부산광역시 동구 좌천동,2617010300
566,부산광역시 동구 범일동,2617010400
567,부산광역시 영도구,2620000000
568,부산광역시 영도구 대교동1가,2620010100
569,부산광역시 영도구 대교동2가,2620010200
570,부산광역시 영도구 대평동1가,2620010300
571,부산광역시 영도구 대평동2가,2620010400
572,부산광역시 영도구 남항동1가,2620010500
573,부산광역시 영도구 남항동2가,2620010600
574,부산광역시 영도구 남항동3가,2620010700
575,부산광역시 영도구 영선동1가,2620010800
576,부산광역시 영도구 영선동2가,2620010900
577,부산광역시 영도구 영선동3가,2620011000
578,부산광역시 영도구 영선동4가,2620011100
579,부산광역시 영도구 신선동1가,2620011200
580,부산광역시 영도구 신선동2가,2620011300
581,부산광역시 영도구 신선동3가,2620011400
582,부산광역시 영도구 봉래동1가,2620011500
583,부산광역시 영도구 봉래동2가,2620011600
584,부산광역시 영도구 봉래동3가,2620011700
585,부산광역시 영도구 봉래동4가,2620011800
586,부산광역시 영도구 봉래동5가,2620011900
587,부산광역시 영도구 청학동,2620012000
588,부산광역시 영도구 동삼동,2620012100
589,부산광역시 부산진구,2623000000
590,부산광역시 부산진구 양정동,2623010100
591,부산광역시 부산진구 전포동,2623010200
592,부산광역시 부산진구 부전동,2623010300
593,부산광역시 부산진구 범천동,2623010400
594,부산광역시 부산진구 범전동,2623010500
595,부산광역시 부산진구 연지동,2623010600
596,부산광역시 부산진구 초읍동,2623010700
597,부산광역시 부산진구 부암동,2623010800
598,부산광역시 부산진구 당감동,2623010900
599,부산광역시 부산진구 가야동,2623011000
600,부산광역시 부산진구 개금동,2623011100
601,부산광역시 동래구,2626000000
602,부산광역시 동래구 명장동,2626010100
603,부산광역시 동래구 안락동,2626010200
604,부산광역시 동래구 칠산동,2626010300
605,부산광역시 동래구 낙민동,2626010400
606,부산광역시 동래구 복천동,2626010500
607,부산광역시 동래구 수안동,2626010600
